experiment,n,runs,collapses,collapse_rate,E_rel_mean,E_rel_std,L2_mean,L2_std,integral_mean,integral_std
A1,1,5,0,0.0,0.4286965370169649,0.0011902668330355114,0.0827695352189,0.0024811394061566225,0.999852979183197,1.057563450278734e-05
A1,2,5,0,0.0,0.42755349477103655,0.0012703338109076292,0.14697827803253488,0.004154097093296798,0.9997481107711792,2.2398819618293487e-05
A1,3,5,0,0.0,0.12185277938837899,0.013026998269747875,1.4140599844640311,0.00017102059047186698,0.9997275829315185,0.00034619715274960124
A1,4,5,0,0.0,0.384693227495356,0.002716448649966633,1.3252339792088224,0.015067204847569246,0.9999236106872559,3.610215496656423e-05
A1,5,5,0,0.0,0.502838304307614,0.006845263757714715,1.4141531799964349,1.880876444826079e-05,0.9998543858528137,5.400055816500713e-05
A1,6,5,0,0.0,0.5272812843321795,0.011877587628185974,1.4031937338874962,0.0004537910008160734,0.9998199462890625,3.2943023979820374e-05
A1,7,5,0,0.0,0.39046992522013596,0.05388951005481871,1.410911488143288,0.0028149099275832715,0.9991683006286621,0.00013993331054751966
A1,8,5,0,0.0,0.3067999013264565,0.005271645969829943,1.386406951897789,0.006864735212374714,0.9995674371719361,0.0001913003733738599
A1,9,5,0,0.0,0.296471966014154,0.01549927822850645,1.4136749379505535,1.4260871658109038e-05,0.9985071420669556,4.1334091420548263e-05
A1,10,5,0,0.0,0.29816807194756834,0.020941876058248484,1.4127966887774597,0.0012585236501667415,0.9983809947967529,0.0002888531413852414
A1,11,5,0,0.0,0.25119034903387677,0.026425539458142997,1.4091460956075537,0.0036635179432485585,0.9971024632453919,2.3428704850513086e-05
A1,12,5,0,0.0,0.2086759816045165,0.041043835369965094,1.4066101767005943,0.003898459158686334,0.9970285892486572,0.0008699433622399255
A1,13,5,0,0.0,0.19774313354490605,0.02596334158287829,1.4123168498269378,0.001126346890773515,0.9962053775787354,0.0006304793013403666
A1,14,5,0,0.0,0.22966923183863316,0.009148080207032672,1.411467330286425,0.0009081695807430643,0.9969693541526794,0.00048589972637675527
A1,15,5,0,0.0,0.18782269708040192,0.007474090710735427,1.4117546037187414,3.7883904685435205e-05,0.9950331926345826,0.00010808748421545995
A1,16,5,0,0.0,0.17470272433372108,0.023129669651807475,1.400750795047936,0.009183289644894541,0.994937002658844,0.0008548868295421194
A1,17,5,0,0.0,0.16336184414949295,0.006408002377490173,1.4019275473045316,0.00013280993070813912,0.9933055281639099,3.423527045239557e-05
A1,18,5,0,0.0,0.16890918186731735,0.01101559532498652,1.3928045512002825,0.007677306828686106,0.9952265381813049,0.001593900506841948
A1,19,5,0,0.0,0.14665393313845282,0.005133033098115977,1.3839453212984683,0.001659146162230328,0.991854989528656,6.232787337567415e-05
A1,20,5,0,0.0,0.14419786502152707,0.017281961993722804,1.3585203399481658,0.005593853798294496,0.9935278058052063,0.0011820815734997557
A2,1,5,0,0.0,0.4346073627463232,0.0014997453212823681,0.07176446734731233,0.002393890138484518,0.9998069524765014,1.105673390233963e-05
A2,2,5,0,0.0,0.42970180511445955,0.0007119225437057489,0.13962376247357935,0.002408678311348785,0.999712324142456,1.239307995867752e-05
A2,3,5,0,0.0,0.09824296951290015,8.00130591770053e-05,1.414109058114325,1.2423063414656853e-05,0.9997951745986938,2.370961588467891e-06
A2,4,5,0,0.0,0.3812666075569153,0.001668393825627539,1.3423114361785138,0.00756357717993461,1.000470221042633,0.0012458643138166994
A2,5,5,0,0.0,0.47337724897586053,0.023530606500768082,1.4141610867100831,3.643535141669441e-05,0.9998553276062012,0.00010698712797053153
A2,6,5,0,0.0,0.509478499672537,0.04044251509480486,1.4019827318410882,0.000808355630584938,0.99975106716156,8.451907733879969e-05
A2,7,5,0,0.0,0.43087449440582687,0.03524938602213343,1.4136272648139439,0.000175919504794417,0.998435640335083,0.00047743235187955335
A2,8,5,0,0.0,0.28324722290035287,0.02565087341601465,1.4124917514647541,0.00011064181700643938,0.9990223169326782,8.302956327412231e-05
A2,9,5,0,0.0,0.2839341780718301,0.024464266411504017,1.413659864267052,2.530584996850879e-05,0.9984629273414611,7.447893611855698e-05
A2,10,5,0,0.0,0.28769193950449273,0.03508315091115346,1.4132839945473168,0.00034570997990637076,0.9982323288917542,0.0003623978224989442
A2,11,5,0,0.0,0.2467705772036363,0.023246103579151123,1.4088525872169126,0.003872108381528623,0.9970286369323731,0.00015147583452855684
A2,12,5,0,0.0,0.2523752461308799,0.028790665825141733,1.40115467381581,0.01187846741065751,0.9970602869987488,0.0007642474203806076
A2,13,5,0,0.0,0.18561555480955544,0.00890231875575419,1.4127502531202278,0.0002604163014881002,0.9960880279541016,0.0007322465907583554
A2,14,5,0,0.0,0.20697898864744563,0.009958025104079395,1.4070980304617393,0.005059644608900314,0.9838663101196289,0.016960870785660644
A2,15,5,0,0.0,0.18875285181504625,0.009235712480262748,1.4118253505098748,6.962931619288812e-05,0.9953197240829468,0.0002789638073289014
A2,16,5,0,0.0,0.20611701473111702,0.007999777042764299,1.3995497575420532,0.007689072322962417,0.9770889401435852,0.025105972838312958
A2,17,5,0,0.0,0.15590513980748938,0.006111928430710272,1.4023038026602026,0.00043710111069455103,0.9934611439704895,0.00013101023907213457
A2,18,5,0,0.0,0.17770327976770747,0.0066851574777943255,1.388936341146477,0.008916578021783106,0.9847571730613709,0.021169163906888007
A2,19,5,0,0.0,0.14182348509091822,0.00812362306973449,1.3831253602047588,0.006155454638777493,0.9926799178123474,0.001087379075849415
A2,20,5,0,0.0,0.16393557817507173,0.005421230611915125,1.3564084023134002,0.006099489769678439,0.9930656433105469,0.0009857673792448265
