experiment,seed,n,E_exact,E_learned,E_rel,L2,integral,collapse,path
A1,0,1,0.5,0.7139090895652771,0.4278181791296986,0.08454884373959423,0.9998601078987122,False,outputs/Harmonic/runs/A1_seed0/mode_1/metrics.json
A1,1,1,0.5,0.7140967845916748,0.42819356918249324,0.08386914906368292,0.9998593330383301,False,outputs/Harmonic/runs/A1_seed1/mode_1/metrics.json
A1,2,1,0.5,0.7143034338951111,0.42860686778936496,0.08292384980653045,0.999851405620575,False,outputs/Harmonic/runs/A1_seed2/mode_1/metrics.json
A1,3,1,0.5,0.7140496373176575,0.42809927463445874,0.08404800577428022,0.9998589158058167,False,outputs/Harmonic/runs/A1_seed3/mode_1/metrics.json
A1,4,1,0.5,0.7153823971748352,0.4307647943488089,0.07845782771041222,0.9998351335525513,False,outputs/Harmonic/runs/A1_seed4/mode_1/metrics.json
A1,0,2,1.5,2.1413521766662598,0.4275681177772214,0.1473750042668583,0.9997531175613403,False,outputs/Harmonic/runs/A1_seed0/mode_2/metrics.json
A1,1,2,1.5,2.1406824588775635,0.4271216392514242,0.14898442348415233,0.9997584819793701,False,outputs/Harmonic/runs/A1_seed1/mode_2/metrics.json
A1,2,2,1.5,2.138836622238159,0.42589108149182214,0.15158493527775146,0.9997706413269043,False,outputs/Harmonic/runs/A1_seed2/mode_2/metrics.json
A1,3,2,1.5,2.1441187858581543,0.4294125239051499,0.14038676442985182,0.9997111558914185,False,outputs/Harmonic/runs/A1_seed3/mode_2/metrics.json
A1,4,2,1.5,2.1416611671447754,0.42777411142956506,0.14656026270406058,0.9997471570968628,False,outputs/Harmonic/runs/A1_seed4/mode_2/metrics.json
A1,0,3,2.5,2.2526028156280518,0.09895887374873971,1.4137640965528828,0.9991085529327393,False,outputs/Harmonic/runs/A1_seed0/mode_3/metrics.json
A1,1,3,2.5,2.1714842319488525,0.13140630722040642,1.4141655778189783,0.9998989105224609,False,outputs/Harmonic/runs/A1_seed1/mode_3/metrics.json
A1,2,3,2.5,2.187216281890869,0.1251134872436023,1.4141421666306084,0.9998730421066284,False,outputs/Harmonic/runs/A1_seed2/mode_3/metrics.json
A1,3,3,2.5,2.1802823543548584,0.12788705825800548,1.4140606810112142,0.9998822212219238,False,outputs/Harmonic/runs/A1_seed3/mode_3/metrics.json
A1,4,3,2.5,2.1852545738220215,0.12589817047114105,1.4141674003064721,0.9998751878738403,False,outputs/Harmonic/runs/A1_seed4/mode_3/metrics.json
A1,0,4,3.5,2.152928352355957,0.38487761361247375,1.3247250116288192,0.9999428987503052,False,outputs/Harmonic/runs/A1_seed0/mode_4/metrics.json
A1,1,4,3.5,2.1389670372009277,0.38886656079962384,1.3010387482380592,0.9999648332595825,False,outputs/Harmonic/runs/A1_seed1/mode_4/metrics.json
A1,2,4,3.5,2.1544623374938965,0.38443933214449116,1.3282758067876075,0.9999332427978516,False,outputs/Harmonic/runs/A1_seed2/mode_4/metrics.json
A1,3,4,3.5,2.1560723781585693,0.3839793205260133,1.3297988849027251,0.9998713731765747,False,outputs/Harmonic/runs/A1_seed3/mode_4/metrics.json
A1,4,4,3.5,2.165438413619995,0.38130331039417814,1.3423314444869008,0.9999057054519653,False,outputs/Harmonic/runs/A1_seed4/mode_4/metrics.json
A1,0,5,4.5,2.277050495147705,0.49398877885595577,1.4141360828155822,0.999795138835907,False,outputs/Harmonic/runs/A1_seed0/mode_5/metrics.json
A1,1,5,4.5,2.2526323795318604,0.4994150267705867,1.4141708653621663,0.9999090433120728,False,outputs/Harmonic/runs/A1_seed1/mode_5/metrics.json
A1,2,5,4.5,2.2371251583099365,0.5028610759310135,1.4141333196058221,0.9997987747192383,False,outputs/Harmonic/runs/A1_seed2/mode_5/metrics.json
A1,3,5,4.5,2.2247133255004883,0.5056192609997792,1.4141520958228608,0.9998730421066284,False,outputs/Harmonic/runs/A1_seed3/mode_5/metrics.json
A1,4,5,4.5,2.1946167945861816,0.5123073789807346,1.414173536375742,0.9998959302902222,False,outputs/Harmonic/runs/A1_seed4/mode_5/metrics.json
A1,0,6,5.5,2.689819812774658,0.5109418522226965,1.4034808592988857,0.9997658729553223,False,outputs/Harmonic/runs/A1_seed0/mode_6/metrics.json
